dataset,backbone,horizon,seed,method,status,mse,mae,mse_delta_pct_vs_raw,mae_delta_pct_vs_raw,prediction_path,output_dir,test_threshold_leakage,blocker_reason
ECL,PatchTST,96,2026,RevIN,completed,95681.39245848877,224.87464077148434,,,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/adaptation_baselines/ECL_PatchTST_96_seed2026/ECL_PatchTST_96_RevIN.jsonl,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/adaptation_baselines/ECL_PatchTST_96_seed2026,False,
ECL,PatchTST,96,2026,DishTS,completed,97043.72955391886,222.2494262145996,,,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/adaptation_baselines/ECL_PatchTST_96_seed2026/ECL_PatchTST_96_DishTS.jsonl,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/adaptation_baselines/ECL_PatchTST_96_seed2026,False,
ECL,PatchTST,96,2026,SAN,completed,118538.26523807457,254.6135962341309,,,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/adaptation_baselines/ECL_PatchTST_96_seed2026/ECL_PatchTST_96_SAN.jsonl,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/adaptation_baselines/ECL_PatchTST_96_seed2026,False,
ECL,PatchTST,96,2026,NST,completed,102262.39932404082,230.99137606201168,,,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/adaptation_baselines/ECL_PatchTST_96_seed2026/ECL_PatchTST_96_NST.jsonl,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/adaptation_baselines/ECL_PatchTST_96_seed2026,False,
ECL,PatchTST,96,2026,TAFAS,completed,100212.18601033569,225.52452759602863,,,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/adaptation_baselines/ECL_PatchTST_96_seed2026/ECL_PatchTST_96_TAFAS.jsonl,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/adaptation_baselines/ECL_PatchTST_96_seed2026,False,
ECL,PatchTST,96,2026,matched_sparse_smoothing,completed,105285.53308177511,228.99961482035317,,,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/smoothing_controls/ECL_PatchTST_96_seed2026/ECL_PatchTST_96_matched_sparse_smoothing.jsonl,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/smoothing_controls/ECL_PatchTST_96_seed2026,False,
ECL,PatchTST,96,2026,naive_smoothing,completed,105285.53308177511,228.99961482035317,,,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/smoothing_controls/ECL_PatchTST_96_seed2026/ECL_PatchTST_96_naive_smoothing.jsonl,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/smoothing_controls/ECL_PatchTST_96_seed2026,False,
ECL,PatchTST,96,2026,ema_smoothing,completed,119599.66591501232,250.94936604819745,,,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/smoothing_controls/ECL_PatchTST_96_seed2026/ECL_PatchTST_96_ema_smoothing.jsonl,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/smoothing_controls/ECL_PatchTST_96_seed2026,False,
ECL,PatchTST,96,2026,median_smoothing,completed,103724.34742528503,226.8114985239665,,,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/smoothing_controls/ECL_PatchTST_96_seed2026/ECL_PatchTST_96_median_smoothing.jsonl,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/smoothing_controls/ECL_PatchTST_96_seed2026,False,
ECL,PatchTST,96,2027,raw_no_correction,completed,95574.70779891458,222.91310543619784,0.0,0.0,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/predictions/raw/ECL_PatchTST_96_seed2027/ECL_PatchTST_96_raw_no_correction.jsonl,experiments/halluguard/results/lrbn_clean_claim_bigtable_v2_repaired_baselines/runs/halluguard_lrbn/ECL_PatchTST_96_seed2027,False,
